"시점","시도별",데이터
"2021.01","서울특별시",100.86
"2021.01","부산광역시",101.17
"2021.01","대구광역시",101.12
"2021.01","인천광역시",101.03
"2021.01","광주광역시",101.13
"2021.01","대전광역시",101.05
"2021.01","울산광역시",101.18
"2021.01","세종특별자치시",101.06
"2021.01","경기도",101.05
"2021.01","강원도",101.01
"2021.01","충청북도",101.21
"2021.01","충청남도",101.05
"2021.01","전라북도",101.01
"2021.01","전라남도",101.02
"2021.01","경상북도",101.05
"2021.01","경상남도",101.18
"2021.01","제주특별자치도",100.79
"2021.02","서울특별시",101.33
"2021.02","부산광역시",101.79
"2021.02","대구광역시",101.57
"2021.02","인천광역시",101.65
"2021.02","광주광역시",101.53
"2021.02","대전광역시",101.53
"2021.02","울산광역시",101.67
"2021.02","세종특별자치시",101.60
"2021.02","경기도",101.66
"2021.02","강원도",101.63
"2021.02","충청북도",101.67
"2021.02","충청남도",101.62
"2021.02","전라북도",101.59
"2021.02","전라남도",101.47
"2021.02","경상북도",101.69
"2021.02","경상남도",101.63
"2021.02","제주특별자치도",101.38
"2021.03","서울특별시",101.57
"2021.03","부산광역시",101.91
"2021.03","대구광역시",101.99
"2021.03","인천광역시",101.83
"2021.03","광주광역시",101.92
"2021.03","대전광역시",101.90
"2021.03","울산광역시",101.86
"2021.03","세종특별자치시",102.05
"2021.03","경기도",101.87
"2021.03","강원도",102.04
"2021.03","충청북도",102.05
"2021.03","충청남도",102.04
"2021.03","전라북도",101.91
"2021.03","전라남도",101.91
"2021.03","경상북도",101.92
"2021.03","경상남도",101.85
"2021.03","제주특별자치도",101.62
"2021.04","서울특별시",101.68
"2021.04","부산광역시",102.00
"2021.04","대구광역시",102.09
"2021.04","인천광역시",102.02
"2021.04","광주광역시",102.13
"2021.04","대전광역시",102.09
"2021.04","울산광역시",101.88
"2021.04","세종특별자치시",102.33
"2021.04","경기도",102.01
"2021.04","강원도",102.19
"2021.04","충청북도",102.17
"2021.04","충청남도",102.16
"2021.04","전라북도",102.05
"2021.04","전라남도",102.00
"2021.04","경상북도",102.01
"2021.04","경상남도",102.07
"2021.04","제주특별자치도",102.10
"2021.05","서울특별시",101.74
"2021.05","부산광역시",102.03
"2021.05","대구광역시",102.14
"2021.05","인천광역시",102.08
"2021.05","광주광역시",102.24
"2021.05","대전광역시",102.13
"2021.05","울산광역시",102.00
"2021.05","세종특별자치시",102.40
"2021.05","경기도",102.10
"2021.05","강원도",102.19
"2021.05","충청북도",102.27
"2021.05","충청남도",102.30
"2021.05","전라북도",102.10
"2021.05","전라남도",102.17
"2021.05","경상북도",102.14
"2021.05","경상남도",102.14
"2021.05","제주특별자치도",102.18
"2021.06","서울특별시",101.68
"2021.06","부산광역시",101.95
"2021.06","대구광역시",102.12
"2021.06","인천광역시",102.11
"2021.06","광주광역시",102.19
"2021.06","대전광역시",102.19
"2021.06","울산광역시",101.93
"2021.06","세종특별자치시",102.48
"2021.06","경기도",102.17
"2021.06","강원도",102.28
"2021.06","충청북도",102.33
"2021.06","충청남도",102.38
"2021.06","전라북도",102.11
"2021.06","전라남도",102.16
"2021.06","경상북도",102.25
"2021.06","경상남도",102.08
"2021.06","제주특별자치도",102.02
"2021.07","서울특별시",101.88
"2021.07","부산광역시",102.19
"2021.07","대구광역시",102.36
"2021.07","인천광역시",102.36
"2021.07","광주광역시",102.36
"2021.07","대전광역시",102.40
"2021.07","울산광역시",102.20
"2021.07","세종특별자치시",102.61
"2021.07","경기도",102.33
"2021.07","강원도",102.46
"2021.07","충청북도",102.50
"2021.07","충청남도",102.55
"2021.07","전라북도",102.39
"2021.07","전라남도",102.35
"2021.07","경상북도",102.49
"2021.07","경상남도",102.26
"2021.07","제주특별자치도",102.39
"2021.08","서울특별시",102.33
"2021.08","부산광역시",102.61
"2021.08","대구광역시",102.90
"2021.08","인천광역시",102.94
"2021.08","광주광역시",102.82
"2021.08","대전광역시",102.70
"2021.08","울산광역시",102.71
"2021.08","세종특별자치시",103.11
"2021.08","경기도",102.85
"2021.08","강원도",103.08
"2021.08","충청북도",102.88
"2021.08","충청남도",102.96
"2021.08","전라북도",102.90
"2021.08","전라남도",102.76
"2021.08","경상북도",103.01
"2021.08","경상남도",102.74
"2021.08","제주특별자치도",102.99
"2021.09","서울특별시",102.67
"2021.09","부산광역시",103.17
"2021.09","대구광역시",103.43
"2021.09","인천광역시",103.41
"2021.09","광주광역시",103.15
"2021.09","대전광역시",103.08
"2021.09","울산광역시",103.26
"2021.09","세종특별자치시",103.20
"2021.09","경기도",103.21
"2021.09","강원도",103.64
"2021.09","충청북도",103.28
"2021.09","충청남도",103.47
"2021.09","전라북도",103.42
"2021.09","전라남도",103.30
"2021.09","경상북도",103.52
"2021.09","경상남도",103.14
"2021.09","제주특별자치도",103.51
"2021.10","서울특별시",102.90
"2021.10","부산광역시",103.22
"2021.10","대구광역시",103.56
"2021.10","인천광역시",103.56
"2021.10","광주광역시",103.27
"2021.10","대전광역시",103.23
"2021.10","울산광역시",103.22
"2021.10","세종특별자치시",103.55
"2021.10","경기도",103.43
"2021.10","강원도",103.85
"2021.10","충청북도",103.50
"2021.10","충청남도",103.81
"2021.10","전라북도",103.46
"2021.10","전라남도",103.64
"2021.10","경상북도",103.75
"2021.10","경상남도",103.27
"2021.10","제주특별자치도",103.70
"2021.11","서울특별시",103.20
"2021.11","부산광역시",103.63
"2021.11","대구광역시",104.11
"2021.11","인천광역시",104.06
"2021.11","광주광역시",103.95
"2021.11","대전광역시",103.71
"2021.11","울산광역시",103.86
"2021.11","세종특별자치시",104.01
"2021.11","경기도",103.97
"2021.11","강원도",104.53
"2021.11","충청북도",104.16
"2021.11","충청남도",104.39
"2021.11","전라북도",104.06
"2021.11","전라남도",104.29
"2021.11","경상북도",104.38
"2021.11","경상남도",103.90
"2021.11","제주특별자치도",104.41
"2021.12","서울특별시",103.32
"2021.12","부산광역시",103.87
"2021.12","대구광역시",104.30
"2021.12","인천광역시",104.38
"2021.12","광주광역시",104.10
"2021.12","대전광역시",103.97
"2021.12","울산광역시",104.12
"2021.12","세종특별자치시",104.16
"2021.12","경기도",104.16
"2021.12","강원도",104.69
"2021.12","충청북도",104.31
"2021.12","충청남도",104.45
"2021.12","전라북도",104.08
"2021.12","전라남도",104.34
"2021.12","경상북도",104.65
"2021.12","경상남도",104.15
"2021.12","제주특별자치도",104.43
"2022.01","서울특별시",103.99
"2022.01","부산광역시",104.58
"2022.01","대구광역시",104.90
"2022.01","인천광역시",104.99
"2022.01","광주광역시",104.59
"2022.01","대전광역시",104.55
"2022.01","울산광역시",104.83
"2022.01","세종특별자치시",104.96
"2022.01","경기도",104.79
"2022.01","강원도",105.37
"2022.01","충청북도",104.88
"2022.01","충청남도",105.06
"2022.01","전라북도",104.69
"2022.01","전라남도",104.89
"2022.01","경상북도",105.26
"2022.01","경상남도",104.90
