"시도명(1)","시군구(1)","시점",계,계,계,계,계,관용,관용,관용,관용,관용,자가용,자가용,자가용,자가용,자가용
"시도명(1)","시군구(1)","시점",소계,경형,소형,중형,대형,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
"부산","금정구","2020.01",8325,377,2299,5256,393,99,8,15,73,3,8226,369,2284,5183,390
"부산","금정구","2020.02",8338,374,2307,5253,404,99,8,15,73,3,8239,366,2292,5180,401
"부산","금정구","2020.03",8326,378,2307,5248,393,99,8,15,73,3,8227,370,2292,5175,390
"부산","금정구","2020.04",8357,397,2291,5271,398,92,8,8,73,3,8265,389,2283,5198,395
"부산","금정구","2020.05",8396,402,2279,5295,420,95,13,8,71,3,8301,389,2271,5224,417
"부산","금정구","2020.06",8406,391,2281,5321,413,94,12,8,71,3,8312,379,2273,5250,410
"부산","금정구","2020.07",8429,400,2278,5339,412,94,12,8,71,3,8335,388,2270,5268,409
"부산","금정구","2020.08",8421,401,2280,5331,409,94,12,8,71,3,8327,389,2272,5260,406
"부산","금정구","2020.09",8471,396,2285,5373,417,94,12,8,71,3,8377,384,2277,5302,414
"부산","금정구","2020.10",8450,392,2279,5359,420,94,12,8,71,3,8356,380,2271,5288,417
"부산","금정구","2020.11",8419,387,2275,5337,420,94,12,8,71,3,8325,375,2267,5266,417
"부산","금정구","2020.12",8409,383,2279,5319,428,98,12,8,75,3,8311,371,2271,5244,425
"부산","금정구","2021.01",8393,382,2271,5315,425,98,12,8,75,3,8295,370,2263,5240,422
"부산","금정구","2021.02",8398,383,2271,5310,434,98,12,8,75,3,8300,371,2263,5235,431
"부산","금정구","2021.03",8424,385,2262,5345,432,97,12,8,74,3,8327,373,2254,5271,429
"부산","금정구","2021.04",8475,398,2280,5345,452,97,12,8,74,3,8378,386,2272,5271,449
"부산","금정구","2021.05",8499,392,2284,5370,453,96,12,8,74,2,8403,380,2276,5296,451
"부산","금정구","2021.06",8499,392,2284,5370,453,96,12,8,74,2,8403,380,2276,5296,451
